-1.670275,0.847611,2.075334,4.195134,0.114238,-2.143686
-1.582395,0.889292,2.065148,4.432266,0.007170,-1.919916
-1.643670,0.889508,2.068324,4.316965,0.617803,-2.457553
-1.586506,1.242599,1.858899,4.316953,0.621662,-2.457481
-1.586494,1.230471,1.825535,4.520278,0.068757,-2.187296
-1.586506,1.591891,1.501769,4.518768,0.393218,-2.187560
-1.586482,1.576264,1.501757,4.415751,-0.016127,-2.443231
-1.586506,1.812209,1.260299,4.187907,0.168634,-2.704260
-2.191805,1.804276,1.060666,3.961513,-0.485177,-2.856388
-2.424443,1.929775,0.872346,4.191562,-0.698281,-2.534863
-2.357439,1.952173,0.971192,4.191562,-0.915783,-2.728192
-2.509135,1.743743,0.971719,3.964497,-1.303892,-1.982546
-2.554963,1.686027,0.640451,3.792751,-1.393294,-2.674767
-2.389329,1.914674,0.719295,4.090368,-1.533905,-2.208341
-2.389329,1.698851,0.719140,4.167666,-1.859061,-2.035300
-2.550972,1.698767,0.456685,4.166300,-1.858689,-2.783979
-2.237213,0.903709,1.218930,3.535162,-0.926029,-1.411569
-1.312247,1.155174,1.206262,2.853080,-0.968645,-1.074681
-1.312307,1.579344,1.095312,2.964617,-0.664497,-0.828501
-0.887909,2.024114,0.584461,2.354632,-1.097823,0.104064
-0.887861,2.023815,0.584449,2.104905,-1.935065,0.680589
-0.887933,2.024031,0.584449,2.105384,-1.419576,0.874218
-1.170821,2.017451,0.584820,2.051288,-1.033516,-0.296282
-1.170833,1.136635,1.431446,2.457026,-0.726192,-0.296293
-1.609467,1.341038,1.612695,2.365754,-0.114050,-0.329885
-1.609431,0.843512,1.838298,2.365934,-0.521885,-0.329574
-1.609443,1.053848,2.001547,2.612329,0.309496,0.128763
-1.609467,1.721033,1.338676,2.355375,0.309041,-0.699946
