275.600486,148.116456,-49.344222,1.799489,0.984378,3.068612
255.233363,163.014795,1.111200,1.581925,0.617829,2.958995
293.728963,101.193848,-165.430622,2.741363,0.917265,-2.467972
277.114199,181.168889,-148.787286,2.804661,0.959823,-2.274677
243.590358,231.220137,-16.700044,1.669048,0.790980,3.113899
251.798486,285.747076,-103.201290,2.104762,0.734257,-2.885636
240.321634,304.404042,6.547613,1.535041,1.153212,3.049816
260.726703,347.728949,-38.759239,-2.662259,1.403622,-1.237530
257.601472,327.454185,-59.588121,0.375473,1.225593,1.813098
289.157787,318.133658,-84.991033,1.069636,0.580906,2.410047
260.583624,287.967697,19.868965,0.654237,0.576670,2.098249
257.688547,184.769431,-6.646755,0.616044,0.102337,2.494701
281.394339,175.609969,-110.883189,0.353307,0.774916,1.682342
281.803330,156.886720,40.307275,0.398133,0.135112,2.146719
302.685871,30.778368,21.200783,0.247315,-0.004764,2.082638
329.817353,29.046030,-69.349400,0.284346,0.407517,1.214205
355.230397,57.975986,-162.603668,1.384179,0.489402,2.757245
300.519770,146.629595,17.802613,2.913143,1.291617,-1.706425
250.559638,276.765586,41.026774,1.999312,1.193885,-2.583772
270.098276,286.376379,-0.009801,2.810018,0.761158,-2.251527
239.872721,68.920910,-87.285759,-3.061825,0.017355,-2.706250
298.718319,195.115169,-56.176658,2.808947,0.357795,-2.941912
335.080299,265.230555,-83.311238,-3.044248,0.744382,-1.764090
317.755264,156.007330,13.259867,2.559683,1.075542,-2.365071
272.946093,250.121308,-26.877864,1.742165,1.057590,-3.095069
265.339940,124.210205,-102.015742,2.172776,0.901510,-2.703143
298.934449,178.838834,37.517178,1.421370,0.339418,2.730616
309.291073,315.901614,54.322648,0.611854,1.319201,1.886130
